country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
Niue,tropical; modified by southeast trade winds,arable land,population distributed around the peripheral coastal areas of the island,0.0,0.0,0.0,0.0,0.0,0.0,Niuean,parliamentary democracy,English common law,228.0,32.0,0.0,214.0,91.6,0.0,None,none
Norfolk Island,"subtropical; mild, little seasonal temperature variation",fish,population concentrated around the capital of Kingston,0.0,0.0,0.0,0.0,0.0,0.0,English,"non-self-governing overseas territory of Australia; note - the Norfolk Island Regional Council, which began operations 1 July 2016, is responsible for planning and managing a variety of public services, including those funded by the Government of Australia",English common law and the laws of Australia,0.0,0.0,0.0,0.0,34.6,0.0,None,none
North Macedonia,"warm, dry summers and autumns; relatively cold winters with heavy snowfall",low-grade iron ore,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",0.4,16.16,12.65,44.47,12.55,14.17,Macedonian,parliamentary republic,civil law system; judicial review of legislative acts,131.0,197.0,100.0,115.0,79.17,93.0,1.2,Kosovo and North Macedonia completed demarcation of their boundary in September 2008
Northern Mariana Islands,"tropical marine; moderated by northeast trade winds, little seasonal temperature variation; dry season December to June, rainy season July to October",arable land,approximately 90% of the population lives on the island of Saipan,-15.4,25.02,16.28,37.44,14.01,7.23,Philippine languages,"republican form of government with separate executive, legislative, and judicial branches; a commonwealth in political union with and under the sovereignty of the US","the laws of the US apply, except for customs and some aspects of taxation",203.0,2.0,100.0,0.0,30.6,0.0,None,none
Norway,"temperate along coast, modified by North Atlantic Current; colder interior with increased precipitation and colder summers; rainy year-round on west coast",petroleum,"most Norweigans live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the North Sea coast in the southwest, and Skaggerak in the southeast; the interior areas of the north remain sparsely populated",4.0,17.96,12.02,40.75,11.84,17.43,Bokmal Norwegian,parliamentary constitutional monarchy,"mixed legal system of civil, common, and customary law; Supreme Court can advise on legislative acts",48.0,156.0,100.0,30.0,96.49,106.0,1.8,Norway asserts a territorial claim in Antarctica (Queen Maud Land and its continental shelf)
Oman,"dry desert; hot, humid along coast; hot, dry interior; strong southwest summer monsoon (May to September) in far south",petroleum,the vast majority of the population is located in and around the Al Hagar Mountains in the north of the country; another smaller cluster is found around the city of Salalah in the far south; most of the country remains sparsely poplulated,-0.4,30.15,17.35,44.81,4.02,3.68,Arabic,absolute monarchy,mixed legal system of Anglo-Saxon law and Islamic law,67.0,201.0,99.0,70.0,80.19,184.0,8.8,"boundary agreement reportedly signed and ratified with UAE in 2003 for entire border, including Oman's Musandam Peninsula and Al Madhah exclave, but details of the alignment have not been made public"
Pacific Ocean,"planetary air pressure systems and resultant wind patterns exhibit remarkable uniformity in the south and east; trade winds and westerly winds are well-developed patterns, modified by seasonal fluctuations; tropical cyclones (hurricanes) may form south of Mexico from June to October and affect Mexico and Central America; continental influences cause climatic uniformity to be much less pronounced in the eastern and western regions at the same latitude in the North Pacific Ocean; the western Pacific is monsoonal - a rainy season occurs during the summer months, when moisture-laden winds blow from the ocean over the land, and a dry season during the winter months, when dry winds blow from the Asian landmass back to the ocean; tropical cyclones (typhoons) may strike southeast and east Asia from May to December",oil,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,some maritime disputes (see littoral states)
Pakistan,"mostly hot, dry desert; temperate in northwest; arctic in north",arable land,"the Indus River and its tributaries attract most of the settlement, with Punjab province the most densely populated",-0.9,36.01,19.3,34.7,5.55,4.44,Punjabi,federal parliamentary republic,common law system with Islamic law influence,25.0,41.0,74.0,35.0,15.51,69.0,4,"various talks and confidence-building measures cautiously have begun to defuse tensions over Kashmir, particularly since the October 2005 earthquake in the region"
Palau,tropical; hot and humid; wet season May to November,forests,most of the population is located on the southern end of the main island of Babelthuap,0.9,18.68,15.86,45.33,10.68,9.45,Palauan,presidential republic in free association with the US,"mixed legal system of civil, common, and customary law",217.0,215.0,99.3,0.0,36.0,112.0,None,"maritime delineation negotiations continue with Philippines, Indonesia"
Panama,"tropical maritime; hot, humid, cloudy; prolonged rainy season (May to January), short dry season (January to May)",copper,"population is concentrated towards the center of the country, particularly around the Canal, but a sizeable segment of the populace also lives in the far west around David; the eastern third of the country is sparsely inhabited",-0.1,25.56,16.59,40.31,8.54,9.01,Spanish,presidential republic,civil law system; judicial review of legislative acts in the Supreme Court of Justice,83.0,42.0,93.4,97.0,57.87,151.0,None,organized illegal narcotics operations in Colombia operate within the remote border region with Panama
Papua New Guinea,"tropical; northwest monsoon (December to March), southeast monsoon (May to October); slight seasonal temperature variation",gold,population concentrated in the highlands and eastern coastal areas on the island of New Guinea; predominantly a rural distribution with only about one-fifth of the population residing in urban areas,0.0,31.98,19.87,37.68,5.83,4.64,Tok Pisin,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,mixed legal system of English common law and customary law,132.0,131.0,22.9,131.0,11.21,55.0,0.27,"relies on assistance from Australia to keep out illegal cross-border activities from primarily Indonesia, including goods smuggling, illegal narcotics trafficking, and squatters and secessionists"
Paracel Islands,tropical,None,"a population of over 1,000 Chinese resides on Woody Island, the largest of the Paracels; there are scattered Chinese garrisons on some other islands",0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,"occupied by China, also claimed by Taiwan and Vietnam"
Paraguay,"subtropical to temperate; substantial rainfall in the eastern portions, becoming semiarid in the far west",hydropower,"most of the population resides in the eastern half of the country; to the west lies the Gran Chaco (a semi-arid lowland plain), which accounts for 60% of the land territory, but only 2% of the overall population",-0.1,23.41,17.71,42.63,8.37,7.88,Spanish  and Guarani,presidential republic,"civil law system with influences from Argentine, Spanish, Roman, and French civil law models; judicial review of legislative acts in Supreme Court of Justice",91.0,58.0,98.4,65.0,64.99,106.0,1,"unruly region at convergence of Argentina-Brazil-Paraguay borders is locus of money laundering, smuggling, arms and illegal narcotics trafficking, and fundraising for violent extremist organizations"
Peru,varies from tropical in east to dry desert in west; temperate to frigid in Andes,copper,"approximately one-third of the population resides along the desert coastal belt in the west, with a strong focus on the capital city of Lima; the Andean highlands, or sierra, which is strongly identified with the country's Amerindian population, contains roughly half of the overall population; the eastern slopes of the Andes, and adjoining rainforest, are sparsely populated",-1.8,25.43,17.21,41.03,8.28,8.05,Spanish,presidential republic,civil law system,46.0,132.0,95.0,51.0,52.54,125.0,1.2,Chile and Ecuador rejected Peru's November 2005 unilateral legislation to shift the axis of their joint treaty-defined maritime boundaries along the parallels of latitude to equidistance lines which favor Peru
Philippines,tropical marine; northeast monsoon (November to April); southwest monsoon (May to October),timber,"population concentrated where good farmlands lie; highest concentrations are northwest and south-central Luzon, the southeastern extension of Luzon, and the islands of the Visayan Sea, particularly Cebu and Negros; Manila is home to one-eighth of the entire national population",-1.8,32.42,19.16,37.37,6.18,4.86,unspecified,presidential republic,"mixed legal system of civil, common, Islamic (sharia), and customary law",29.0,29.0,88.0,39.0,60.05,127.0,1,"Philippines claims sovereignty over Scarborough Reef (also claimed by China together with Taiwan) and over certain of the Spratly Islands, known locally as the Kalayaan (Freedom) Islands, also claimed by China, Malaysia, Taiwan, and Vietnam"
Pitcairn Islands,tropical; hot and humid; modified by southeast trade winds; rainy season (November to March),miro trees; used for handicrafts,"less than 50 inhabitants on Pitcairn Island, most reside near the village of Adamstown",0.0,0.0,0.0,0.0,0.0,0.0,English,parliamentary democracy,local island by-laws,0.0,0.0,0.0,0.0,100.0,0.0,None,none
Poland,"temperate with cold, cloudy, moderately severe winters with frequent precipitation; mild summers with frequent showers and thundershowers",coal,"population concentrated in the southern area around Krakow and the central area around Warsaw and Lodz, with an extension to the northern coastal city of Gdansk",-0.30000000000000004,14.83,9.8,43.33,13.32,18.72,Polish,parliamentary republic,"civil law system; judicial review of legislative, administrative, and other governmental acts; constitutional law rulings of the Constitutional Tribunal are final",23.0,60.0,100.0,28.0,77.54,133.0,2,"as a member state that forms part of the EU's external border, Poland has implemented the strict Schengen border rules to restrict illegal immigration and trade along its eastern borders with Belarus and Ukraine"
Portugal,"maritime temperate; cool and rainy in north, warmer and drier in south",fish,"concentrations are primarily along or near the Atlantic coast; both Lisbon and the second largest city, Porto, are coastal cities",0.30000000000000004,13.58,10.94,41.49,13.08,20.92,Portuguese,semi-presidential republic,civil law system; Constitutional Court review of legislative acts,55.0,126.0,100.0,43.0,74.66,115.0,1.52,Portugal does not recognize Spanish sovereignty over the territory of Olivenza based on a difference of interpretation of the 1815 Congress of Vienna and the 1801 Treaty of Badajoz
Puerto Rico,"tropical marine, mild; little seasonal temperature variation",copper,"population clusters tend to be found along the coast, the largest of these is found in and around San Juan; an exception to this is a sizeable population located in the interior of the island immediately south of the capital around Caguas; most of the interior, particularly in the western half of the island, is dominated by the Cordillera Central mountains, where population density is low",-14.1,14.22,12.78,37.73,13.5,21.77,Spanish,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government
Note: reference Puerto Rican Federal Relations Act, 2 March 1917, as amended by Public Law 600, 3 July 1950",civil law system based on the Spanish civil code and within the framework of the US federal system,81.0,207.0,100.0,76.0,70.6,101.0,None,increasing numbers of illegal migrants from the Dominican Republic cross the Mona Passage to Puerto Rico each year looking for work
Qatar,"arid; mild, pleasant winters; very hot, humid summers",petroleum,most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula,6.5,12.84,11.78,70.66,3.5300000000000002,1.19,Arabic,absolute monarchy,mixed legal system of civil law and Islamic (sharia) law (in family and personal matters),52.0,169.0,100.0,66.0,99.65,167.0,None,none
Romania,"temperate; cold, cloudy winters with frequent snow and fog; sunny summers with frequent showers and thunderstorms",petroleum,"urbanization is not particularly high, and a fairly even population distribution can be found throughout most of the country, with urban areas attracting larger and denser populations; Hungarians, the country's largest minority, have a particularly strong presence in eastern Transylvania",-0.2,14.12,10.31,46.26,11.73,17.58,Romanian,semi-presidential republic,civil law system,41.0,23.0,100.0,38.0,70.68,106.0,2.04,the ICJ ruled largely in favor of Romania in its dispute submitted in 2004 over Ukrainian-administered Zmiyinyy/Serpilor (Snake) Island and Black Sea maritime boundary delimitation
Russia,ranges from steppes in the south through humid continental in much of European Russia; subarctic in Siberia to tundra climate in the polar north; winters vary from cool along Black Sea coast to frigid in Siberia; summers vary from warm in the steppes to cool along Arctic coast,oil,"population is heavily concentrated in the westernmost fifth of the country extending from the Baltic Sea, south to the Caspian Sea, and eastward parallel to the Kazakh border; elsewhere, sizeable pockets are isolated and generally found in the south",1.7000000000000002,17.24,9.54,43.38,14.31,15.53,Russian,semi-presidential federation,civil law system; judicial review of legislative acts,6.0,173.0,100.0,5.0,80.86,161.0,3.9,Russia remains concerned about the smuggling of poppy derivatives from Afghanistan through Central Asian countries
Rwanda,"temperate; two rainy seasons (February to April, November to January); mild in mountains with frost and snow possible",gold,one of Africa's most densely populated countries; large concentrations tend to be in the central regions and along the shore of Lake Kivu in the west,-3.3,39.95,20.1,33.06,4.24,2.65,Kinyarwanda,presidential republic,"mixed legal system of civil law, based on German and Belgian models, and customary law; judicial review of legislative acts in the Supreme Court",142.0,33.0,43.0,166.0,21.77,80.0,1.2,"Burundi and Rwanda dispute two sq km (0.8 sq mi) of Sabanerwa, a farmed area in the Rukurazi Valley where the Akanyaru/Kanyaru River shifted its course southward after heavy rains in 1965"
Saint Barthelemy,"tropical, with practically no variation in temperature; has two seasons (dry and humid)",few natural resources,"most of the populace concentrated in and around the capital of Gustavia, but scattered settlements exist around the island periphery",-3.0,15.16,7.34,41.86,16.29,19.35,French,parliamentary democracy (Territorial Council); overseas collectivity of France,French civil law,0.0,0.0,0.0,0.0,0.0,0.0,None,None
"Saint Helena, Ascension, And Tristan Da Cunha","Saint Helena: tropical marine; mild, tempered by trade winds;
Ascension Island: tropical marine; mild, semi-arid;
Tristan da Cunha: temperate marine; mild, tempered by trade winds (tends to be cooler than Saint Helena)",fish,"Saint Helena - population is concentrated in and around the capital Jamestown in the northwest, with another significant cluster in the interior Longwood area; Ascension - largest settlement, and location of most of the population, is Georgetown; Tristan da Cunha - most of the nearly 300 inhabitants live in the northern coastal town of Edinburgh of the Seven Seas",0.0,15.15,12.12,43.06,12.96,16.71,English,parliamentary democracy,English common law and local statutes,227.0,0.0,0.0,210.0,23.1,39.0,None,none
Saint Kitts And Nevis,"tropical, tempered by constant sea breezes; little seasonal temperature variation; rainy season (May to November)",arable land,population clusters are found in the small towns located on the periphery of both islands,1.2,19.87,13.46,43.64,13.03,10.0,English,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm,English common law,199.0,147.0,100.0,187.0,80.71,146.0,None,"joins other Caribbean states to counter Venezuela's claim that Aves Island sustains human habitation, a criterion under UN Convention on the Law of the Sea, which permits Venezuela to extend its EEZ/continental shelf over a large portion of the eastern Caribbean Sea"
Saint Lucia,"tropical, moderated by northeast trade winds; dry season January to April, rainy season May to August",forests,"most of the population is found on the periphery of the island, with a larger concentration in the north around the capital of Castries",-1.7000000000000002,19.24,13.6,42.83,11.23,13.1,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,English common law,191.0,115.0,97.8,180.0,50.82,112.0,None,"joins other Caribbean states to counter Venezuela's claim that Aves Island sustains human habitation, a criterion under UN Convention on the Law of the Sea, which permits Venezuela to extend its EEZ/continental shelf over a large portion of the eastern Caribbean Sea"
Saint Martin,"temperature averages 27-29 degrees Celsius all year long; low humidity, gentle trade winds, brief, intense rain showers; hurricane season stretches from July to November",salt,"most of the population is found along the coast, with a largest concentrations around the capital Marigot, Orleans, and Grand-Case",-6.0,25.63,10.28,46.2,8.71,9.17,French,parliamentary democracy (Territorial Council); overseas collectivity of France,French civil law,212.0,0.0,72.0,0.0,3.5,0.0,None,None
Saint Pierre And Miquelon,"cold and wet, with considerable mist and fog; spring and autumn are often windy",fish,most of the population is found on Saint Pierre Island; a small settlement is located on the north end of Miquelon Island,-7.7,14.31,8.83,40.0,14.49,22.37,French,parliamentary democracy (Territorial Council); overseas collectivity of France,French civil law,218.0,0.0,0.0,202.0,79.5,0.0,None,none
Saint Vincent And The Grenadines,tropical; little seasonal temperature variation; rainy season (May to November),hydropower,most of the population is concentrated in and around the capital of Kingstown,-7.2,20.15,14.83,42.63,11.68,10.72,English,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,English common law,202.0,190.0,100.0,189.0,22.39,104.0,None,"joins other Caribbean states to counter Venezuela's claim that Aves Island sustains human habitation, a criterion under UN Convention on the Law of the Sea, which permits Venezuela to extend its EEZ/continental shelf over a large portion of the eastern Caribbean Sea"
Samoa,"tropical; rainy season (November to April), dry season (May to October)",hardwood forests,about three-quarters of the population lives on the island of Upolu,-8.1,29.31,19.61,37.4,7.5,6.18,Samoan,parliamentary republic,mixed legal system of English common law and customary law; judicial review of legislative acts with respect to fundamental rights of the citizen,204.0,133.0,100.0,194.0,33.61,62.0,None,none
San Marino,"Mediterranean; mild to cool winters; warm, sunny summers",building stone,0,6.6,14.73,11.64,39.12,14.28,20.24,Italian,parliamentary republic,civil law system with Italian civil law influences,195.0,157.0,100.0,0.0,60.18,113.0,None,none
Sao Tome And Principe,"tropical; hot, humid; one rainy season (October to May)",fish,"Sao Tome, the capital city, has roughly a quarter of the nation's population; Santo Antonio is the largest town on Principe; the northern areas of both islands have the highest population densities",-7.9,39.77,21.59,31.61,4.17,2.87,Portuguese,semi-presidential republic,mixed legal system of civil law based on the Portuguese model and customary law,208.0,83.0,68.0,205.0,29.93,80.0,None,none
Saudi Arabia,"harsh, dry desert with great temperature extremes",petroleum,"historically a population that was mostly nomadic or semi-nomadic, the Saudi population has become more settled since petroleum was discovered in the 1930s; most of the economic activities - and with it the country's population - is concentrated in a wide area across the middle of the peninsula, from Ad Dammam in the east, through Riyadh in the interior, to Mecca-Medina in the west near the Red Sea",4.7,24.84,15.38,50.2,5.95,3.63,Arabic,absolute monarchy,"Islamic (sharia) legal system with some elements of Egyptian, French, and customary law; note - several secular codes have been introduced; commercial disputes handled by special committees",16.0,202.0,99.0,14.0,93.31,125.0,8,Saudi Arabia has reinforced its concrete-filled security barrier along sections of the now fully demarcated border with Yemen to stem illegal cross-border activities
Senegal,"tropical; hot, humid; rainy season (May to November) has strong southeast winds; dry season (December to April) dominated by hot, dry, harmattan wind",fish,"the population is concentrated in the west, with Dakar anchoring a well-defined core area; approximately 70% of the population is rural",-1.3,40.38,20.35,31.95,4.21,3.1,French,presidential republic,civil law system based on French law; judicial review of legislative acts in Constitutional Court,107.0,18.0,65.0,129.0,46.0,110.0,1.5,"cross-border trafficking in persons, timber, wildlife, and cannabis"
Serbia,"in the north, continental climate (cold winters and hot, humid summers with well-distributed rainfall); in other parts, continental and Mediterranean climate (relatively cold winters with heavy snowfall and hot, dry summers and autumns)",oil,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",0.0,14.07,11.04,41.19,13.7,20.0,Serbian,parliamentary republic,civil law system,82.0,158.0,100.0,73.0,73.36,119.0,2.2,Serbia with several other states protest the US and other states' recognition of Kosovo's declaration of its status as a sovereign and independent state in February 2008
Seychelles,tropical marine; humid; cooler season during southeast monsoon (late May to September); warmer season during northwest monsoon (March to May),fish,more than three-quarters of the population lives on the main island of Mahe; Praslin contains less than 10%; a smaller percent on La Digue and the outer islands,1.0,18.85,12.39,49.03,11.46,8.27,Seychellois Creole,presidential republic,"mixed legal system of English common law, French civil law, and customary law",190.0,43.0,100.0,181.0,58.77,189.0,1.3,Mauritius and Seychelles claim the Chagos Islands (UK-administered British Indian Ocean Territory)
Sierra Leone,"tropical; hot, humid; summer rainy season (May to December); winter dry season (December to April)",diamonds,population clusters are found in the lower elevations of the south and west; the northern third of the country is less populated,-1.2,41.38,18.83,32.21,3.89,3.7,English,presidential republic,mixed legal system of English common law and customary law,158.0,92.0,20.0,179.0,9.0,102.0,0.7000000000000001,"Sierra Leone opposes Guinean troops' continued occupation of Yenga, a small village on the Makona River that serves as a border with Guinea"
Singapore,"tropical; hot, humid, rainy; two distinct monsoon seasons - northeastern monsoon (December to March) and southwestern monsoon (June to September); inter-monsoon - frequent afternoon and early evening thunderstorms",fish,"most of the urbanization is along the southern coast, with relatively dense population clusters found in the central areas",11.8,12.8,15.01,50.73,10.58,10.89,English,parliamentary republic,English common law,38.0,96.0,100.0,53.0,88.17,143.0,3.2,"disputes with Malaysia over territorial waters, airspace, the price of fresh water delivered to Singapore from Malaysia, Singapore's extensive land reclamation works, bridge construction, and maritime boundaries in the Johor and Singapore Straits"
Sint Maarten,"tropical marine climate, ameliorated by northeast trade winds, results in moderate temperatures; average rainfall of 150 cm/year; hurricane season stretches from July to November",fish,"most populous areas are Lower Prince's Quarter (north of Philipsburg), followed closely by Cul de Sac",6.0,18.64,13.26,39.08,17.47,11.55,English,parliamentary democracy under a constitutional monarchy,based on Dutch civil law system with some English common law influence,214.0,97.0,100.0,0.0,0.0,0.0,None,None
Slovakia,"temperate; cool summers; cold, cloudy, humid winters",lignite,a fairly even distribution throughout most of the country; slightly larger concentration in the west in proximity to the Czech border,0.2,15.13,10.06,44.61,13.15,17.05,Slovak,parliamentary republic,civil law system based on Austro-Hungarian codes; note - legal code modified to comply with the obligations of Organization on Security and Cooperation in Europe,69.0,102.0,100.0,72.0,80.66,133.0,1.74,"bilateral government, legal, technical and economic working group negotiations continued between Slovakia and Hungary over Hungary's completion of its portion of the Gabcikovo-Nagymaros hydroelectric dam project along the Danube"
Slovenia,"Mediterranean climate on the coast, continental climate with mild to hot summers and cold winters in the plateaus and valleys to the east",lignite,"a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations; pockets in the mountainous northwest exhibit less density than elsewhere",1.5,14.84,9.01,40.73,14.19,21.23,Slovene,parliamentary republic,civil law system,99.0,51.0,100.0,95.0,79.75,117.0,1.04,"since the breakup of Yugoslavia in the early 1990s, Croatia and Slovenia have each claimed sovereignty over Piran Bay and four villages, and Slovenia has objected to Croatia's claim of an exclusive economic zone in the Adriatic Sea"
Solomon Islands,tropical monsoon; few temperature and weather extremes,fish,"most of the population lives along the coastal regions; about one in five live in urban areas, and of these some two-thirds reside in Honiara, the largest town and chief port",-1.6,32.99,19.82,37.64,5.04,4.51,Melanesian pidgin,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,mixed legal system of English common law and customary law,200.0,100.0,47.9,198.0,11.92,73.0,None,"since 2003, the Regional Assistance Mission to Solomon Islands, consisting of police, military, and civilian advisors drawn from 15 countries, has assisted in reestablishing and maintaining civil and political order while reinforcing regional stability and security"
Somalia,"principally desert; northeast monsoon (December to February), moderate temperatures in north and hot in south; southwest monsoon (May to October), torrid in the north and hot in the south, irregular rainfall, hot and humid periods (tangambili) between monsoons",uranium,"distribution varies greatly throughout the country; least densely populated areas are in the northeast and central regions, as well as areas along the Kenyan border; most populated areas are in and around the cities of Mogadishu, Marka, Boorama, Hargeysa, and Baidoa",-3.8,42.38,19.81,30.93,4.61,2.27,Somali,federal parliamentary republic,"mixed legal system of civil law, Islamic (sharia) law, and customary law (referred to as Xeer)",148.0,143.0,17.0,182.0,2.0,68.0,None,Ethiopian forces invaded southern Somalia and routed Islamist Courts from Mogadishu in January 2007
South Africa,"mostly semiarid; subtropical along east coast; sunny days, cool nights",gold,"the population concentrated along the southern and southeastern coast, and inland around Pretoria; the eastern half of the country is more densly populated than the west",-0.2,27.94,16.8,42.37,6.8,6.09,isiZulu,parliamentary republic,"mixed legal system of Roman-Dutch civil law, English common law, and customary law",30.0,179.0,84.2,21.0,56.17,167.0,1,"South Africa has placed military units to assist police operations along the border of Lesotho, Zimbabwe, and Mozambique to control smuggling, poaching, and illegal migration"
South Georgia And South Sandwich Islands,"variable, with mostly westerly winds throughout the year interspersed with periods of calm; nearly all precipitation falls as snow",fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,"the laws of the UK, where applicable, apply",0.0,0.0,0.0,0.0,0.0,0.0,None,"Argentina, which claims the islands in its constitution and briefly occupied them by force in 1982, agreed in 1995 to no longer seek settlement by force"
South Sudan,hot with seasonal rainfall influenced by the annual shift of the Inter-Tropical Convergence Zone; rainfall heaviest in upland areas of the south and diminishes to the north,hydropower,"clusters found in urban areas, particularly in the western interior and around the White Nile",0.2,41.58,21.28,30.67,3.93,2.5300000000000002,English,presidential republic,0,149.0,218.0,8.9,185.0,7.98,36.0,3.5,"South Sudan-Sudan boundary represents 1 January 1956 alignment, final alignment pending negotiations and demarcation"
Southern Ocean,"sea temperatures vary from about 10 degrees Celsius to -2 degrees Celsius; cyclonic storms travel eastward around the continent and frequently are intense because of the temperature contrast between ice and open ocean; the ocean area from about latitude 40 south to the Antarctic Circle has the strongest average winds found anywhere on Earth; in winter the ocean freezes outward to 65 degrees south latitude in the Pacific sector and 55 degrees south latitude in the Atlantic sector, lowering surface temperatures well below 0 degrees Celsius; at some coastal points intense persistent drainage winds from the interior keep the shoreline ice-free throughout the winter",oil,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,"Antarctic Treaty defers claims (see Antarctica entry), but Argentina, Australia, Chile, France, NZ, Norway, and UK assert claims (some overlapping), including the continental shelf in the Southern Ocean"
Spain,"temperate; clear, hot summers in interior, more moderate and cloudy along coast; cloudy, cold winters in interior, partly cloudy and cool along coast",coal,"with the notable exception of Madrid, Sevilla, and Zaragoza, the largest urban agglomerations are found along the Mediterranean and Atlantic coasts; numerous smaller cities are spread throughout the interior reflecting Spain's agrarian heritage; very dense settlement around the capital of Madrid, as well as the port city of Barcelona",7.0,15.02,9.9,43.61,12.99,18.49,Castilian Spanish,parliamentary constitutional monarchy,civil law system with regional variations,15.0,116.0,100.0,12.0,86.11,110.0,0.92,"in 2002, Gibraltar residents voted overwhelmingly by referendum to reject any ""shared sovereignty"" arrangement"
Spratly Islands,tropical,fish,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,0,0.0,0.0,0.0,0.0,0.0,0.0,None,all of the Spratly Islands are claimed by China (including Taiwan) and Vietnam
Sri Lanka,tropical monsoon; northeast monsoon (December to March); southwest monsoon (June to October),limestone,"the population is primarily concentrated within a broad wet zone in the southwest, urban centers along the eastern coast, and on the Jaffna Peninsula in the north",-1.3,23.11,14.58,41.2,10.48,10.63,Sinhala,presidential republic,"mixed legal system of Roman-Dutch civil law, English common law, Jaffna Tamil customary law, and Muslim personal law",61.0,106.0,95.6,89.0,34.11,134.0,1.9,none
Sudan,hot and dry; arid desert; rainy season varies by region (April to November),petroleum,"with the exception of a ribbon of settlement that corresponds to the banks of the Nile, northern Sudan, which extends into the dry Sahara, is sparsely populated; more abundant vegetation and broader access to water increases population distribution in the south extending habitable range along nearly the entire border with South Sudan; sizeable areas of population are found around Khartoum, southeast between the Blue and White Nile Rivers, and througout South Darfur",-0.4,42.01,20.94,29.89,4.13,3.03,Arabic,presidential republic,"mixed legal system of Islamic law and English common law; note - in mid-July 2020, Sudan amended 15 provisions of its 1991 penal code",71.0,177.0,45.0,96.0,30.87,70.0,1.6,the effects of Sudan's ethnic and rebel militia fighting since the mid-20th century have penetrated all of the neighboring states
Suriname,tropical; moderated by trade winds,timber,population concentrated along the nothern coastal strip; the remainder of the country is sparsely populated,0.5,23.38,17.2,44.09,8.78,6.55,Dutch,presidential republic,civil law system influenced by Dutch civil law; note - a new criminal code was enacted in 2017,162.0,159.0,87.2,149.0,48.95,126.0,None,area claimed by French Guiana between Riviere Litani and Riviere Marouini (both headwaters of the Lawa)
Svalbard,"arctic, tempered by warm North Atlantic Current; cool summers, cold winters; North Atlantic Current flows along west and north coasts of Spitsbergen, keeping water open and navigable most of the year",coal,"the small population is primarily concentrated on the island of Spitsbergen in a handful of settlements on the south side of the Isfjorden, with Longyearbyen being the largest",0.0,0.0,0.0,0.0,0.0,0.0,Norwegian,non-self-governing territory of Norway,"the laws of Norway where applicable apply; only the laws of Norway made explicitly applicable to Svalbard have effect there; the Svalbard Act and the Svalbard Environmental Protection Act, and certain regulations, apply only to Svalbard; the Spitsbergen Treaty and the Svalbard Treaty grant certain rights to citizens and corporations of signatory nations; as of June 2017, 45 nations had ratified the Svalbard Treaty",0.0,0.0,0.0,0.0,0.0,0.0,None,"despite recent discussions, Russia and Norway dispute their maritime limits in the Barents Sea and Russia's fishing rights beyond Svalbard's territorial limits within the Svalbard Treaty zone"
Sweden,"temperate in south with cold, cloudy winters and cool, partly cloudy summers; subarctic in north",iron ore,most Swedes live in the south where the climate is milder and there is better connectivity to mainland Europe; population clusters are found all along the Baltic coast in the east; the interior areas of the north remain sparsely populated,5.2,17.71,10.8,39.01,11.9,20.59,Swedish,parliamentary constitutional monarchy,civil law system influenced by Roman-Germanic law and customary law,40.0,148.0,100.0,26.0,92.14,126.0,1.1,none
Switzerland,"temperate, but varies with altitude; cold, cloudy, rainy/snowy winters; cool to warm, cloudy, humid summers with occasional showers",hydropower potential,population distribution corresponds to elevation with the northern and western areas far more heavily populated; the higher Alps of the south limit settlement,4.6,15.34,10.39,42.05,13.48,18.73,German,federal republic (formally a confederation),"civil law system; judicial review of legislative acts, except for federal decrees of a general obligatory character",39.0,165.0,100.0,42.0,89.69,130.0,0.7000000000000001,none
