country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Timor-Leste,"tropical; hot, humid; distinct rainy and dry seasons","['gold', 'petroleum', 'natural gas', 'manganese', 'marble']","most of the population concentrated in the western third of the country, particularly around Dili",-3.9,39.96,20.32,30.44,5.22,4.06,"[{'name': 'Tetun Prasa', 'percent': 30.6}, {'name': 'Mambai', 'percent': 16.6}, {'name': 'Makasai', 'percent': 10.5}, {'name': 'Tetun Terik', 'percent': 6.1}, {'name': 'Baikenu', 'percent': 5.9}, {'name': 'Kemak', 'percent': 5.8}, {'name': 'Bunak', 'percent': 5.5}, {'name': 'Tokodede', 'percent': 4}, {'name': 'Fataluku', 'percent': 3.5}, {'name': ""Waima'a"", 'percent': 1.8}, {'name': 'Galoli', 'percent': 1.4}, {'name': 'Naueti', 'percent': 1.4}, {'name': 'Idate', 'percent': 1.2}, {'name': 'Midiki', 'percent': 1.2}, {'name': 'other', 'percent': 4.5}]",semi-presidential republic,"civil law system based on the Portuguese model; note - penal and civil law codes to replace the Indonesian codes were passed by Parliament and promulgated in 2009 and 2011, respectively",166.0,216.0,63.4,215.0,27.49,111.0,"[{'value': 1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2015'}]","['three stretches of land borders with Indonesia have yet to be delimited, two of which are in the Oecussi exclave area, and no maritime or Economic Exclusion Zone boundaries have been established between the countries', 'maritime boundaries with Indonesia remain unresolved', 'Timor-Leste and Australia reached agreement on a treaty delimiting a permanent maritime boundary in March 2018', ""the treaty will enter into force once ratified by the two countries' parliaments""]"
Togo,"tropical; hot, humid in south; semiarid in north","['phosphates', 'limestone', 'marble', 'arable land']","one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast",0.0,39.73,19.03,33.26,4.42,3.5700000000000003,"[{'name': 'French', 'note': 'official, the language of commerce'}, {'name': 'Ewe and Mina', 'note': 'the two major African languages in the south'}, {'name': 'Kabye  and Dagomba', 'note': 'sometimes spelled Kabiye; the two major African languages in the north'}]",presidential republic,customary law system,155.0,66.0,36.0,164.0,12.36,75.0,"[{'value': 3.1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.97, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.8900000000000001, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.85, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.6800000000000002, 'units': 'percent_of_gdp', 'date': '2015'}]","['in 2001, Benin claimed Togo moved boundary monuments - joint commission continues to resurvey the boundary', 'talks continue between Benin and Togo on funding the Adjrala hydroelectric dam on the Mona River']"
Tokelau,tropical; moderated by trade winds (April to November),['NEGL'],the country's small population is fairly evenly distributed amongst the three atolls,,,,,,,"[{'name': 'Tokelauan', 'percent': 88.1, 'note': 'a Polynesian language'}, {'name': 'English', 'percent': 48.6}, {'name': 'Samoan', 'percent': 26.7}, {'name': 'Tuvaluan', 'percent': 11.2}, {'name': 'Kiribati', 'percent': 1.5}, {'name': 'other', 'percent': 2.8}, {'name': 'none', 'percent': 2.8}, {'name': 'unspecified', 'percent': 0.8, 'note': '2016 ests.'}]",parliamentary democracy under a constitutional monarchy,common law system of New Zealand,229.0,,,,60.2,,,"[""Tokelau included American Samoa's Swains Island (Olosega) in its 2006 draft independence constitution""]"
Tonga,"tropical; modified by trade winds; warm season (December to May), cool season (May to December)","['arable land', 'fish']",over two-thirds of the population lives on the island of Tongatapu; only 45 of the nation's 171 islands are occupied,-17.9,32.0,19.66,35.35,6.17,6.83,"[{'name': 'Tongan and English', 'percent': 76.8}, {'name': 'Tongan'}, {'name': 'English'}, {'name': 'and other language', 'percent': 10.6}, {'name': 'Tongan only', 'percent': 8.7, 'note': 'official'}, {'name': 'English only', 'percent': 0.7000000000000001, 'note': 'official'}, {'name': 'other', 'percent': 1.7000000000000002}, {'name': 'none', 'percent': 2.2}]",constitutional monarchy,English common law,211.0,134.0,97.0,204.0,41.25,101.0,,['maritime boundary dispute with Fiji']
Trinidad And Tobago,tropical; rainy season (June to December),"['petroleum', 'natural gas', 'asphalt']","population on Trinidad is concentrated in the western half of the island, on Tobago in the southern half",-5.4,19.01,11.28,43.77,13.83,12.11,"[{'name': 'English', 'note': 'official'}, {'name': 'Trinidadian Creole English'}, {'name': 'Tobagonian Creole English'}, {'name': 'Caribbean Hindustani', 'note': 'a dialect of Hindi'}, {'name': 'Trinidadian Creole French'}, {'name': 'Spanish'}, {'name': 'Chinese'}]",parliamentary republic,English common law; judicial review of legislative acts in the Supreme Court,115.0,210.0,100.0,104.0,77.33,162.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.78, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9500000000000001, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.02, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.86, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Barbados and Trinidad and Tobago abide by the April 2006 Permanent Court of Arbitration decision delimiting a maritime boundary and limiting catches of flying fish in Trinidad and Tobago's EEZ"", ""in 2005, Barbados and Trinidad and Tobago agreed to compulsory international arbitration under UN Convention on the Law of the Sea challenging whether the northern limit of Trinidad and Tobago's and Venezuela's maritime boundary extends into Barbadian waters"", 'Guyana has expressed its intention to include itself in the arbitration, as the Trinidad and Tobago-Venezuela maritime boundary may also extend into its waters']"
Tunisia,"temperate in north with mild, rainy winters and hot, dry summers; desert in south","['petroleum', 'phosphates', 'iron ore', 'lead', 'zinc', 'salt']",the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated,-1.4,25.28,12.9,42.85,10.12,8.86,"[{'name': 'Arabic', 'note': 'official, one of the languages of commerce'}, {'name': 'French', 'note': 'commerce'}, {'name': 'Berber', 'note': 'Tamazight'}]",parliamentary republic,"mixed legal system of civil law, based on the French civil code and Islamic (sharia) law; some judicial review of legislative acts in the Supreme Court in joint session",78.0,155.0,100.0,77.0,64.19,128.0,"[{'value': 2.6, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.1, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.35, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.3, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Turkey,"temperate; hot, dry summers with mild, wet winters; harsher in interior","['coal', 'iron ore', 'copper', 'chromium', 'antimony', 'mercury', 'gold', 'barite', 'borate', 'celestite', 'strontium', 'emery', 'feldspar', 'limestone', 'magnesite', 'marble', 'perlite', 'pumice', 'pyrites', 'sulfur', 'clay', 'arable land', 'hydropower']","the most densely populated area is found around the Bosporus in the northwest where 20% of the population lives in Istanbul; with the exception of Ankara, urban centers remain small and scattered throughout the interior of Anatolia; an overall pattern of peripheral development exists, particularly along the Aegean Sea coast in the west, and the Tigris and Euphrates River systems in the southeast",-4.3,23.41,15.67,43.31,9.25,8.35,"[{'name': 'Turkish', 'note': 'official'}, {'name': 'Kurdish'}, {'name': 'other minority languages'}]",presidential republic,"civil law system based on various European legal systems, notably the Swiss civil code",13.0,16.0,100.0,15.0,71.04,99.0,"[{'value': 1.8900000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.85, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.52, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.46, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.3900000000000001, 'units': 'percent_of_gdp', 'date': '2015'}]","['complex maritime, air, and territorial disputes with Greece in the Aegean Sea', 'status of north Cyprus question remains', 'Turkey has expressed concern over the status of Kurds in Iraq', 'in 2009, Swiss mediators facilitated an accord reestablishing diplomatic ties between Armenia and Turkey, but neither side has ratified the agreement and the rapprochement effort has faltered', 'Turkish authorities have complained that blasting from quarries in Armenia might be damaging the medieval ruins of Ani, on the other side of the Arpacay valley']"
Turkmenistan,subtropical desert,"['petroleum', 'natural gas', 'sulfur', 'salt']","the most densely populated areas are the southern, eastern, and northeastern oases; approximately 50% of the population lives in and around the capital of Ashgabat",-1.7000000000000002,25.44,16.48,44.14,8.56,5.38,"[{'name': 'Turkmen', 'percent': 72, 'note': 'official'}, {'name': 'Russian', 'percent': 12}, {'name': 'Uzbek', 'percent': 9}, {'name': 'other', 'percent': 7}]",presidential republic; authoritarian,civil law system with Islamic (sharia) law influences,84.0,30.0,100.0,88.0,21.25,160.0,,"['cotton monoculture in Uzbekistan and Turkmenistan creates water-sharing difficulties for Amu Darya river states', 'field demarcation of the boundaries with Kazakhstan commenced in 2005', 'bilateral talks continue with Azerbaijan on dividing the seabed and contested oilfields in the middle of the Caspian']"
Turks And Caicos Islands,tropical; marine; moderated by trade winds; sunny and relatively dry,"['spiny lobster', 'conch']","eight of the thirty islands are inhabited; the island of Providenciales is the most populated, but the most densely populated is Grand Turk",8.9,21.33,13.19,52.51,7.8100000000000005,5.17,"[{'name': 'English', 'note': 'official'}]",parliamentary democracy,mixed legal system of English common law and civil law,210.0,4.0,95.7,183.0,,,,['have received Haitians fleeing economic and civil disorder']
Tuvalu,tropical; moderated by easterly trade winds (March to November); westerly gales and heavy rain (November to March),"['fish', 'coconut', 'copra']",over half of the population resides on the atoll of Funafuti,-6.5,29.42,17.61,37.17,9.12,6.68,"[{'name': 'Tuvaluan', 'note': 'official'}, {'name': 'English', 'note': 'official'}, {'name': 'Samoan'}, {'name': 'Kiribati', 'note': 'on the island of Nui'}]",parliamentary democracy under a constitutional monarchy; a Commonwealth realm,mixed legal system of English common law and local customary law,226.0,107.0,99.4,212.0,49.32,69.0,,['none']
Uganda,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast","['copper', 'cobalt', 'hydropower', 'limestone', 'salt', 'arable land', 'gold']","population density is relatively high in comparison to other African nations; most of the population is concentrated in the central and southern parts of the country, particularly along the shores of Lake Victoria and Lake Albert; the northeast is least populated",-3.5,48.21,20.25,26.24,2.91,2.38,"[{'name': 'English', 'note': 'official language, taught in schools, used in courts of law and by most newspapers and some radio broadcasts'}, {'name': 'Ganda or Luganda', 'note': 'most widely used of the Niger-Congo languages and the language used most often in the capital'}, {'name': 'other Niger-Congo languages'}, {'name': 'Nilo-Saharan languages'}, {'name': 'Swahili', 'note': 'official'}, {'name': 'Arabic'}]",presidential republic,mixed legal system of English common law and customary law,89.0,59.0,20.0,127.0,23.71,60.0,"[{'value': 2.1, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2015'}]","['Uganda is subject to armed fighting among hostile ethnic groups, rebels, armed gangs, militias, and various government forces that extend across its borders', ""Ugandan refugees as well as members of the Lord's Resistance Army (LRA) seek shelter in southern Sudan and the Democratic Republic of the Congo's Garamba National Park"", 'LRA forces have also attacked Kenyan villages across the border']"
Ukraine,"temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south","['iron ore', 'coal', 'manganese', 'natural gas', 'oil', 'salt', 'sulfur', 'graphite', 'titanium', 'magnesium', 'kaolin', 'nickel', 'mercury', 'timber', 'arable land']","densest settlement in the eastern (Donbas) and western regions; noteable concentrations in and around major urban areas of Kyiv, Kharkiv, Donets'k, Dnipropetrovs'k, and Odesa",2.3,16.16,9.28,43.66,13.87,17.03,"[{'name': 'Ukrainian', 'percent': 67.5, 'note': 'official'}, {'name': 'Russian', 'percent': 29.6, 'note': 'regional language'}, {'name': 'other', 'percent': 2.9, 'note': 'includes small Crimean Tatar-, Moldovan/Romanian-, and Hungarian-speaking minorities'}]",semi-presidential republic,civil law system; judicial review of legislative acts,50.0,135.0,100.0,20.0,58.89,123.0,"[{'value': 3.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 3.7, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.2, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 3.3, 'units': 'percent_of_gdp', 'date': '2015'}]","['1997 boundary delimitation treaty with Belarus remains unratified due to unresolved financial claims, stalling demarcation and reducing border security', 'delimitation of land boundary with Russia is complete and demarcation began in 2012', 'the dispute over the boundary between Russia and Ukraine through the Kerch Strait and Sea of Azov is suspended due to the occupation of Crimea by Russia', ""Ukraine and Moldova signed an agreement officially delimiting their border in 1999, but the border has not been demarcated due to Moldova's difficulties with the break-away region of Transnistria"", ""Moldova and Ukraine operate joint customs posts to monitor transit of people and commodities through Moldova's Transnistria Region, which remains under the auspices of an Organization for Security and Cooperation in Europe-mandated peacekeeping mission comprised of Moldovan, Transnistrian, Russian, and Ukrainian troops"", 'the ICJ ruled largely in favor of Romania in its dispute submitted in 2004 over Ukrainian-administered Zmiyinyy/Serpilor (Snake) Island and Black Sea maritime boundary delimitation', ""Romania opposes Ukraine's reopening of a navigation canal from the Danube border through Ukraine to the Black Sea""]"
United Arab Emirates,desert; cooler in eastern mountains,"['petroleum', 'natural gas']","population is heavily concentrated to the northeast on the Musandam Peninsula; the three largest emirates - Abu Dhabi, Dubai, and Sharjah - are home to nearly 85% of the population",7.6,14.45,7.94,68.03,7.68,1.9,"[{'name': 'Arabic', 'note': 'official'}, {'name': 'English'}, {'name': 'Hindi'}, {'name': 'Malayam'}, {'name': 'Urdu'}, {'name': 'Pashto'}, {'name': 'Tagalog'}, {'name': 'Persian'}]",federation of monarchies,mixed legal system of Islamic (sharia) law and civil law,32.0,188.0,100.0,33.0,98.45,207.0,"[{'value': 5.7, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 5.6, 'units': 'percent_of_gdp', 'date': '2014'}, {'value': 6, 'units': 'percent_of_gdp', 'date': '2013'}, {'value': 5.1, 'units': 'percent_of_gdp', 'date': '2012'}, {'value': 5.5, 'units': 'percent_of_gdp', 'date': '2011'}]","[""boundary agreement was signed and ratified with Oman in 2003 for entire border, including Oman's Musandam Peninsula and Al Madhah enclaves, but contents of the agreement and detailed maps showing the alignment have not been published"", 'Iran and UAE dispute Tunb Islands and Abu Musa Island, which Iran occupies']"
United Kingdom,temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast,"['coal', 'petroleum', 'natural gas', 'iron ore', 'lead', 'zinc', 'gold', 'tin', 'limestone', 'salt', 'clay', 'chalk', 'gypsum', 'potash', 'silica sand', 'slate', 'arable land']","the core of the population lies in and around London, with significant clusters found in central Britain around Manchester and Liverpool, in the Scotish lowlands between Endinburgh and Glasgow, southern Wales in and around Cardiff, and far eastern Northern Ireland centered on Belfast",2.5,17.63,11.49,39.67,12.73,18.48,[{'name': 'English'}],parliamentary constitutional monarchy; a Commonwealth realm,common law system; has nonbinding judicial review of Acts of Parliament under the Human Rights Act of 1998,9.0,166.0,100.0,13.0,94.9,122.0,"[{'value': 2.14, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.13, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2.11, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.11, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.05, 'units': 'percent_of_gdp', 'date': '2015'}]","['in 2002, Gibraltar residents voted overwhelmingly by referendum to reject any ""shared sovereignty"" arrangement between the UK and Spain', 'the Government of Gibraltar insisted on equal participation in talks between the two countries', 'Spain disapproved of UK plans to grant Gibraltar greater autonomy', 'Mauritius and Seychelles claim the Chagos Archipelago (British Indian Ocean Territory)', ""in 2001, the former inhabitants of the archipelago, evicted 1967 - 1973, were granted UK citizenship and the right of return, followed by Orders in Council in 2004 that banned rehabitation, a High Court ruling reversed the ban, a Court of Appeal refusal to hear the case, and a Law Lords' decision in 2008 denied the right of return"", ""in addition, the UK created the world's largest marine protection area around the Chagos islands prohibiting the extraction of any natural resources therein"", 'UK rejects sovereignty talks requested by Argentina, which still claims the Falkland Islands (Islas Malvinas) and South Georgia and the South Sandwich Islands', 'territorial claim in Antarctica (British Antarctic Territory) overlaps Argentine claim and partially overlaps Chilean claim', ""Iceland, the UK, and Ireland dispute Denmark's claim that the Faroe Islands' continental shelf extends beyond 200 nm""]"
United States,"mostly temperate, but tropical in Hawaii and Florida, arctic in Alaska, semiarid in the great plains west of the Mississippi River, and arid in the Great Basin of the southwest; low winter temperatures in the northwest are ameliorated occasionally in January and February by warm chinook winds from the eastern slopes of the Rocky Mountains","['coal', 'copper', 'lead', 'molybdenum', 'phosphates', 'rare earth elements', 'uranium', 'bauxite', 'gold', 'iron', 'mercury', 'nickel', 'potash', 'silver', 'tungsten', 'zinc', 'petroleum', 'natural gas', 'timber', 'arable land', 'note', ""the US has the world's largest coal reserves with 491 billion short tons accounting for 27% of the world's total""]","large urban clusters are spread throughout the eastern half of the US (particularly the Great Lakes area, northeast, east, and southeast) and the western tier states; mountainous areas, principally the Rocky Mountains and Appalachian chain, deserts in the southwest, the dense boreal forests in the extreme north, and the central prarie states are less densely populated; Alaska's population is concentrated along its southern coast - with particular emphasis on the city of Anchorage - and Hawaii's is centered on the island of Oahu",3.0,18.46,12.91,38.92,12.86,16.85,"[{'name': 'English only', 'percent': 78.2}, {'name': 'Spanish', 'percent': 13.4}, {'name': 'Chinese', 'percent': 1.1}, {'name': 'other', 'percent': 7.3}]",constitutional federal republic,"common law system based on English common law at the federal level; state legal systems based on common law, except Louisiana, where state law is based on Napoleonic civil code; judicial review of legislative acts",2.0,145.0,100.0,2.0,87.27,129.0,"[{'value': 3.42, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 3.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.31, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.52, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 3.52, 'units': 'percent_of_gdp', 'date': '2015'}]","['the US has intensified domestic security measures and is collaborating closely with its neighbors, Canada and Mexico, to monitor and control legal and illegal personnel, transport, and commodities across the international borders', 'abundant rainfall in recent years along much of the Mexico-US border region has ameliorated periodically strained water-sharing arrangements', '1990 Maritime Boundary Agreement in the Bering Sea still awaits Russian Duma ratification', 'Canada and the United States dispute how to divide the Beaufort Sea and the status of the Northwest Passage but continue to work cooperatively to survey the Arctic continental shelf', 'The Bahamas and US have not been able to agree on a maritime boundary', 'US Naval Base at Guantanamo Bay is leased from Cuba and only mutual agreement or US abandonment of the area can terminate the lease', 'Haiti claims US-administered Navassa Island', 'US has made no territorial claim in Antarctica (but has reserved the right to do so) and does not recognize the claims of any other states', 'Marshall Islands claims Wake Island', ""Tokelau included American Samoa's Swains Island among the islands listed in its 2006 draft constitution""]"
Uruguay,warm temperate; freezing temperatures almost unknown,"['arable land', 'hydropower', 'minor minerals', 'fish']","most of the country's population resides in the southern half of the country; approximately 80% of the populace is urban, living in towns or cities; nearly half of the population lives in and around the capital of Montevideo",-0.9,19.51,15.14,39.86,10.79,14.71,"[{'name': 'Spanish', 'note': 'official'}]",presidential republic,civil law system based on the Spanish civil code,96.0,127.0,100.0,81.0,68.28,153.0,"[{'value': 2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.1, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.8, 'units': 'percent_of_gdp', 'date': '2015'}]","[""in 2010, the ICJ ruled in favor of Uruguay's operation of two paper mills on the Uruguay River, which forms the border with Argentina"", 'the two countries formed a joint pollution monitoring regime', 'uncontested boundary dispute between Brazil and Uruguay over Braziliera/Brasiliera Island in the Quarai/Cuareim River leaves the tripoint with Argentina in question', 'smuggling of firearms and narcotics continues to be an issue along the Uruguay-Brazil border']"
Uzbekistan,"mostly mid-latitude desert, long, hot summers, mild winters; semiarid grassland in east","['natural gas', 'petroleum', 'coal', 'gold', 'uranium', 'silver', 'copper', 'lead', 'zinc', 'tungsten', 'molybdenum']","most of the population is concentrated in the fertile Fergana Valley in the easternmost arm of the country; the south has significant clusters of people, while the central and western deserts are sparsely populated",-1.9,23.19,16.63,45.68,8.63,5.87,"[{'name': 'Uzbek', 'percent': 74.3, 'note': 'official'}, {'name': 'Russian', 'percent': 14.2}, {'name': 'Tajik', 'percent': 4.4}, {'name': 'other', 'percent': 7.1}]",presidential republic; highly authoritarian,civil law system,63.0,44.0,100.0,54.0,52.31,77.0,"[{'value': 4, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.5, 'units': 'percent_of_gdp', 'date': '2010'}]","['prolonged drought and cotton monoculture in Uzbekistan and Turkmenistan created water-sharing difficulties for Amu Darya river states', 'field demarcation of the boundaries with Kazakhstan commenced in 2004', 'border delimitation of 130 km of border with Kyrgyzstan is hampered by serious disputes around enclaves and other areas']"
Vanuatu,tropical; moderated by southeast trade winds from May to October; moderate rainfall from November to April; may be affected by cyclones from December to April,"['manganese', 'hardwood forests', 'fish']","three-quarters of the population lives in rural areas; the urban populace lives primarily in two cities, Port-Vila and Lugenville; three largest islands - Espiritu Santo, Malakula, and Efate - accomodate over half of the populace",-1.3,33.65,19.99,36.09,5.89,4.39,"[{'name': 'local languages', 'percent': 63.2, 'note': 'more than 100'}, {'name': 'Bislama', 'percent': 33.7, 'note': 'official; creole'}, {'name': 'English', 'percent': 2, 'note': 'official'}, {'name': 'French', 'percent': 0.6000000000000001, 'note': 'official'}, {'name': 'other', 'percent': 0.5}]",parliamentary republic,"mixed legal system of English common law, French law, and customary law",207.0,73.0,57.8,199.0,25.72,87.0,,['Matthew and Hunter Islands east of New Caledonia claimed by Vanuatu and France']
Venezuela,"tropical; hot, humid; more moderate in highlands","['petroleum', 'natural gas', 'iron ore', 'gold', 'bauxite', 'other minerals', 'hydropower', 'diamonds']","most of the population is concentrated in the northern and western highlands along an eastern spur at the northern end of the Andes, an area that includes the capital of Caracas",-3.4,25.66,16.14,41.26,8.76,8.18,"[{'name': 'Spanish', 'note': 'official'}, {'name': 'numerous indigenous dialects'}]",federal presidential republic,civil law system based on the Spanish civil code,47.0,222.0,99.6,32.0,72.0,70.0,"[{'value': 0.49, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.45, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.9400000000000001, 'units': 'percent_of_gdp', 'date': '2015'}, {'value': 1.16, 'units': 'percent_of_gdp', 'date': '2014'}, {'value': 1.67, 'units': 'percent_of_gdp', 'date': '2013'}]","['claims all of the area west of the Essequibo River in Guyana, preventing any discussion of a maritime boundary', ""Guyana has expressed its intention to join Barbados in asserting claims before the UN Convention on the Law of the Sea that Trinidad and Tobago's maritime boundary with Venezuela extends into their waters"", 'dispute with Colombia over maritime boundary and Venezuelan administered Los Monjes Islands near the Gulf of Venezuela', ""Colombian organized illegal narcotics and paramilitary activities penetrate Venezuela's shared border region"", ""US, France, and the Netherlands recognize Venezuela's granting full effect to Aves Island, thereby claiming a Venezuelan Economic Exclusion Zone/continental shelf extending over a large portion of the eastern Caribbean Sea"", ""Dominica, Saint Kitts and Nevis, Saint Lucia, and Saint Vincent and the Grenadines protest Venezuela's full effect claim""]"
Vietnam,"tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season (October to March)","['antimony', 'phosphates', 'coal', 'manganese', 'rare earth elements', 'bauxite', 'chromate', 'offshore oil', 'gas deposits', 'timber', 'hydropower', 'arable land']","though it has one of the highest population densities in the world, the population is not evenly dispersed; clustering is heaviest along the South China Sea and Gulf of Tonkin, with the Mekong Delta (in the south) and the Red River Valley (in the north) having the largest concentrations of people",-0.30000000000000004,22.61,15.22,45.7,9.55,6.91,"[{'name': 'Vietnamese', 'note': 'official'}, {'name': 'English', 'note': 'increasingly favored as a second language'}, {'name': 'some French'}, {'name': 'Chinese'}, {'name': 'and Khmer'}]",communist state,civil law system; note - the civil code of 2005 reflects a European-style civil law,35.0,25.0,99.0,25.0,70.35,145.0,"[{'value': 2.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.27, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 2.45, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.4, 'units': 'percent_of_gdp', 'date': '2015'}, {'value': 2.3, 'units': 'percent_of_gdp', 'date': '2014'}]","['southeast Asian states have enhanced border surveillance to check the spread of Asian swine fever', 'Cambodia and Laos protest Vietnamese squatters and armed encroachments along border', 'Cambodia accuses Vietnam of a wide variety of illicit cross-border activities', 'progress on a joint development area with Cambodia is hampered by an unresolved dispute over sovereignty of offshore islands', 'an estimated 300,000 Vietnamese refugees reside in China', 'establishment of a maritime boundary with Cambodia is hampered by unresolved dispute over the sovereignty of offshore islands', 'the decade-long demarcation of the China-Vietnam land boundary was completed in 2009', 'China occupies the Paracel Islands also claimed by Vietnam and Taiwan', 'Brunei claims a maritime boundary extending beyond as far as a median with Vietnam, thus asserting an implicit claim to Lousia Reef', 'the 2002 ""Declaration on the Conduct of Parties in the South China Sea"" eased tensions but differences between the parties negotiating the Code of Conduct continue', 'Vietnam continues to expand construction of facilities in the Spratly Islands', 'in March 2005, the national oil companies of China, the Philippines, and Vietnam signed a joint accord to conduct marine seismic activities in the Spratly Islands', 'Economic Exclusion Zone negotiations with Indonesia are ongoing, and the two countries in Fall 2011 agreed to work together to reduce illegal fishing along their maritime boundary', 'in May 2018, Russia’s RosneftVietnam unit started drilling at a block southeast of Vietnam which is within the area outlined by China’s nine-dash line and Beijing issued a warning']"
Virgin Islands,"subtropical, tempered by easterly trade winds, relatively low humidity, little seasonal temperature variation; rainy season September to November","['pleasant climate', 'beaches foster tourism']","while overall population density throughout the islands is relatively low, concentrations appear around Charlotte Amalie on St. Thomas and Christiansted on St. Croix",-7.5,19.9,10.32,36.43,14.16,19.19,"[{'name': 'English', 'percent': 71.6}, {'name': 'Spanish or Spanish Creole', 'percent': 17.2}, {'name': 'French or French Creole', 'percent': 8.6}, {'name': 'other', 'percent': 2.5}]","republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government",US common law,181.0,185.0,100.0,157.0,64.38,,,['none']
Wake Island,tropical,,,,,,,,,None,,US common law,,,,,,,,['claimed by Marshall Islands']
Wallis And Futuna,"tropical; hot, rainy season (November to April); cool, dry season (May to October); rains 250-300 cm per year (80% humidity); average temperature 26.6 degrees Celsius",['NEGL'],,-4.3,20.58,14.72,43.55,9.92,11.23,"[{'name': 'Wallisian', 'percent': 58.9, 'note': 'indigenous Polynesian language'}, {'name': 'Futunian', 'percent': 30.1}, {'name': 'French', 'percent': 10.8, 'note': 'official'}, {'name': 'other', 'percent': 0.2, 'note': '2003 census'}]",parliamentary democracy (Territorial Assembly); overseas collectivity of France,French civil law,225.0,,,,22.1,,,['none']
